user_id,latitude,longitude,hour,day_type,is_night,is_alone,crowd_density,lighting_condition,crime_area_score,phone_motion_status,walking_speed,distance_from_home,distance_from_safe_zone,battery_level,network_status,weather_condition,panic_button,unusual_movement,time_spent_at_location,nearest_trusted_contact_distance,night_risk_score,isolation_score,movement_risk_score,location_risk_score,emergency_score,total_risk_score,risk_level
U00001,18.663932,92.617733,6,0,0,1,high,bright,0.247,walking,0.62,6.78,0.22,70,5G,clear,0,0,1,0.01,0.0,0.64,0.2,0.1483,0.0,0.1951,Safe
U00002,21.966436,79.585681,19,0,0,0,low,bright,0.233,walking,0.78,3.57,10.3,98,5G,clear,0,0,48,2.13,0.0,0.4,0.2,0.2314,0.0,0.1679,Safe
U00003,30.653367,96.793863,14,0,0,0,low,bright,0.09,stationary,2.96,7.3,5.69,21,5G,clear,0,0,4,0.72,0.0,0.4,0.1,0.1262,0.0,0.1266,Safe
U00004,27.692329,69.506369,10,0,0,0,medium,bright,0.16,stationary,6.89,2.03,2.18,45,4G,rainy,0,0,4,5.33,0.0,0.2,0.1,0.1086,0.0,0.0821,Safe
U00005,17.972722,90.870334,7,0,0,0,high,bright,0.048,walking,6.97,3.22,4.17,12,4G,clear,0,0,24,6.13,0.0,0.04,0.2,0.0764,0.2,0.0971,Safe
U00006,25.642683,80.581259,20,1,1,1,low,dim,0.05,walking,6.2,2.68,7.19,50,2G,clear,0,0,23,1.99,0.6,1.0,0.2,0.1058,0.0,0.3765,Medium Risk
U00007,23.576595,80.565849,6,1,0,0,low,bright,0.129,running,1.0,0.73,2.39,41,4G,clear,0,0,32,7.67,0.0,0.4,0.6,0.0908,0.0,0.1927,Safe
U00008,11.40342,72.93388,18,0,0,0,medium,bright,0.092,running,3.32,13.38,1.74,52,4G,clear,0,0,16,0.27,0.0,0.2,0.6,0.108,0.0,0.157,Safe
U00009,14.341185,82.931518,22,0,1,0,high,dim,0.408,running,1.71,1.31,0.21,56,3G,rainy,0,0,16,0.83,0.6,0.04,0.6,0.2105,0.0,0.2706,Safe
U00010,17.210302,70.456836,10,0,0,0,low,bright,0.242,stationary,1.09,0.06,4.09,92,3G,clear,0,0,8,3.08,0.0,0.4,0.1,0.1621,0.0,0.1355,Safe
U00011,13.278052,85.880738,10,0,0,1,low,bright,0.287,stationary,5.71,5.78,3.19,32,no_signal,clear,0,0,33,4.81,0.0,1.0,0.1,0.1947,0.0,0.2637,Safe
U00012,12.053614,75.006123,23,1,1,0,medium,dim,0.203,erratic,1.73,1.98,3.53,28,4G,cloudy,0,0,17,16.49,0.6,0.2,1.0,0.1434,0.0,0.3458,Safe
U00013,9.57134,89.020883,20,0,1,1,medium,dark,0.168,stationary,7.88,2.27,2.72,80,4G,cloudy,0,0,24,5.46,1.0,0.8,0.1,0.1188,0.0,0.4047,Medium Risk
U00014,31.573769,85.613484,3,0,1,1,low,dim,0.286,stationary,6.36,14.65,1.43,97,5G,cloudy,0,0,7,0.77,0.6,1.0,0.1,0.2061,0.0,0.3865,Medium Risk
U00015,15.801472,89.645745,7,0,0,1,high,bright,0.044,walking,6.38,19.41,5.71,72,5G,cloudy,0,0,10,1.01,0.0,0.64,0.2,0.1438,0.0,0.194,Safe
U00016,15.838656,89.74252,23,0,1,0,high,dim,0.204,stationary,5.72,0.32,3.59,43,2G,stormy,0,0,1,1.93,0.6,0.04,0.1,0.139,0.0,0.1777,Safe
U00017,13.56816,73.704562,2,0,1,1,high,dim,0.318,stationary,1.86,0.21,1.47,68,5G,foggy,1,0,1,43.13,0.6,0.64,0.1,0.1744,0.5,0.4066,Emergency
U00018,20.835729,68.019567,21,0,1,0,medium,bright,0.335,stationary,1.61,6.97,4.73,9,5G,clear,0,0,2,6.42,0.6,0.2,0.1,0.238,0.2,0.2745,Safe
U00019,21.884533,78.607077,20,0,1,0,low,bright,0.237,stationary,1.81,15.47,12.11,46,2G,cloudy,0,0,6,0.29,0.6,0.4,0.1,0.2912,0.0,0.2878,Safe
U00020,13.623597,94.653007,1,0,1,0,low,dim,0.303,stationary,4.12,1.06,1.58,77,2G,cloudy,0,1,9,9.52,0.6,0.4,0.1,0.1708,0.3,0.3177,Safe
U00021,24.431399,84.759082,23,1,1,0,medium,dim,0.117,stationary,1.08,14.98,15.99,29,5G,rainy,0,0,7,3.85,0.6,0.2,0.1,0.2683,0.0,0.2421,Safe
U00022,27.520999,89.097558,11,1,0,1,high,bright,0.275,walking,5.73,1.15,3.48,75,5G,clear,0,1,39,11.1,0.0,0.64,0.2,0.1761,0.3,0.262,Safe
U00023,18.093682,93.50754,5,0,1,1,high,dark,0.063,erratic,6.36,6.18,1.45,100,4G,rainy,0,0,6,0.87,1.0,0.64,1.0,0.0666,0.0,0.4946,Medium Risk
U00024,23.807196,94.275689,1,0,1,0,high,dark,0.452,walking,6.29,0.31,3.47,49,4G,clear,0,0,6,10.99,1.0,0.04,0.2,0.2617,0.0,0.3034,Safe
U00025,21.562151,83.34173,20,0,1,0,low,dim,0.155,walking,8.0,1.54,1.27,39,4G,foggy,0,0,57,3.12,0.6,0.4,0.2,0.0953,0.0,0.2538,Safe
U00026,13.279807,83.68732,0,0,1,1,medium,dim,0.284,running,7.1,2.43,2.06,26,4G,clear,0,0,8,11.88,0.6,0.8,0.6,0.1707,0.0,0.4127,Medium Risk
U00027,27.710297,92.677226,11,0,0,0,medium,dim,0.039,stationary,6.82,4.55,8.32,9,4G,clear,0,0,2,4.06,0.0,0.2,0.1,0.1179,0.2,0.1245,Safe
U00028,29.639232,91.417078,21,0,1,0,high,dark,0.09,stationary,0.2,11.88,1.46,95,5G,clear,0,0,4,0.57,1.0,0.04,0.1,0.0992,0.0,0.2478,Safe
U00029,25.517414,88.266899,11,0,0,0,medium,bright,0.288,walking,5.6,9.03,5.8,64,4G,clear,0,0,11,11.38,0.0,0.2,0.2,0.2321,0.0,0.128,Safe
U00030,16.745193,85.529465,16,0,0,1,low,dim,0.075,stationary,4.75,2.59,0.17,70,3G,stormy,0,0,17,0.5,0.0,1.0,0.1,0.0478,0.0,0.227,Safe
U00031,33.023397,85.899238,9,0,0,0,low,bright,0.326,stationary,5.67,3.76,0.93,24,4G,cloudy,0,0,53,7.52,0.0,0.4,0.1,0.1848,0.0,0.1412,Safe
U00032,20.294676,78.524429,15,0,0,0,high,bright,0.353,stationary,1.52,5.7,1.47,97,4G,clear,0,0,6,1.88,0.0,0.04,0.1,0.2102,0.0,0.0756,Safe
U00033,15.178719,92.386615,14,0,0,1,medium,bright,0.072,erratic,3.76,0.19,3.94,95,4G,clear,0,0,32,1.02,0.0,0.8,1.0,0.076,0.0,0.329,Safe
U00034,19.022335,85.915611,14,0,0,0,medium,bright,0.146,stationary,0.93,3.0,6.98,19,4G,clear,0,0,10,4.9,0.0,0.2,0.1,0.1528,0.2,0.1332,Safe
U00035,26.686027,74.482314,18,0,0,1,high,bright,0.695,walking,7.72,5.29,2.09,89,4G,cloudy,0,0,9,13.54,0.0,0.64,0.2,0.386,0.0,0.2545,Safe
U00036,30.840158,74.955455,11,0,0,1,medium,bright,0.456,stationary,0.35,15.16,5.68,6,4G,clear,0,0,1,0.37,0.0,0.8,0.1,0.3353,0.2,0.2988,Safe
U00037,17.627538,92.986487,22,1,1,0,low,dim,0.133,walking,7.5,8.41,2.68,44,3G,rainy,0,0,1,8.52,0.6,0.4,0.2,0.1213,0.0,0.2603,Safe
U00038,14.28086,86.145519,19,1,0,1,low,bright,0.262,walking,1.18,0.92,2.68,45,3G,rainy,0,0,5,8.16,0.0,1.0,0.2,0.1609,0.0,0.2702,Safe
U00039,24.915315,79.56242,2,1,1,1,low,dim,0.404,erratic,0.87,6.43,8.44,6,3G,clear,0,0,21,0.9,0.6,1.0,1.0,0.3078,0.2,0.587,High Risk
U00040,32.872808,73.425922,4,0,1,0,low,dark,0.216,stationary,6.58,0.83,0.94,86,5G,rainy,0,0,4,5.09,1.0,0.4,0.1,0.1202,0.0,0.325,Safe
U00041,12.948921,85.696263,18,0,0,1,low,bright,0.422,erratic,5.2,2.97,4.47,50,5G,clear,0,0,34,2.84,0.0,1.0,1.0,0.2656,0.0,0.4164,Medium Risk
U00042,29.681523,73.345001,6,1,0,1,low,dim,0.067,walking,2.08,5.69,0.51,9,5G,clear,0,1,55,5.59,0.0,1.0,0.2,0.0576,0.5,0.3444,Safe
U00043,20.868394,81.634844,20,0,1,1,low,dim,0.301,stationary,1.21,2.53,7.07,90,5G,cloudy,0,0,40,1.16,0.6,1.0,0.1,0.2296,0.0,0.3924,Medium Risk
U00044,29.586838,87.647805,8,0,0,1,low,bright,0.199,stationary,0.61,5.1,2.46,88,2G,stormy,0,0,12,1.79,0.0,1.0,0.1,0.1411,0.0,0.2503,Safe
U00045,21.649611,84.397048,6,1,0,0,low,bright,0.243,stationary,5.76,14.13,1.25,49,4G,rainy,0,0,18,1.78,0.0,0.4,0.1,0.1811,0.0,0.1403,Safe
U00046,18.18785,94.740897,17,0,0,1,high,dim,0.223,stationary,1.35,3.31,0.11,27,5G,clear,0,0,2,4.03,0.0,0.64,0.1,0.1236,0.0,0.1739,Safe
U00047,26.812007,69.151915,3,0,1,0,high,dim,0.059,walking,3.51,7.67,2.07,67,3G,clear,0,0,41,2.27,0.6,0.04,0.2,0.0758,0.0,0.1769,Safe
U00048,32.316937,76.114051,13,0,0,0,medium,bright,0.349,erratic,7.39,0.9,15.99,78,5G,rainy,0,0,26,10.88,0.0,0.2,1.0,0.3374,0.0,0.2744,Safe
U00049,16.646797,69.655497,17,0,0,1,high,bright,0.531,stationary,6.16,16.05,0.01,44,5G,rainy,0,0,24,5.98,0.0,0.64,0.1,0.3191,0.0,0.2228,Safe
U00050,20.4402,73.643523,8,0,0,1,medium,bright,0.488,stationary,4.36,5.35,2.76,49,5G,cloudy,0,0,16,3.71,0.0,0.8,0.1,0.2894,0.0,0.2474,Safe
U00051,14.193817,71.595517,20,0,1,1,high,bright,0.345,erratic,5.52,6.02,0.08,76,4G,clear,0,0,14,3.05,0.6,0.64,1.0,0.1934,0.0,0.4463,Medium Risk
U00052,12.952056,89.247187,1,0,1,1,medium,dim,0.18,stationary,5.46,19.25,4.2,26,4G,rainy,0,1,11,0.99,0.6,0.8,0.1,0.1962,0.3,0.404,Medium Risk
U00053,29.003034,78.711902,19,0,0,0,medium,dim,0.055,running,5.49,2.46,0.78,27,5G,clear,0,0,6,2.12,0.0,0.2,0.6,0.0435,0.0,0.1409,Safe
U00054,13.417931,94.826284,14,1,0,1,high,bright,0.203,stationary,6.25,2.74,0.41,16,4G,rainy,0,0,9,1.59,0.0,0.64,0.1,0.1147,0.2,0.2117,Safe
U00055,29.419591,68.677954,6,0,0,1,medium,dim,0.549,erratic,7.37,4.19,0.33,47,5G,rainy,1,0,36,8.05,0.0,0.8,1.0,0.2918,0.5,0.4829,Emergency
U00056,19.58886,86.934801,11,0,0,0,medium,bright,0.245,stationary,7.33,2.35,4.24,22,4G,cloudy,1,1,26,0.47,0.0,0.2,0.1,0.1727,0.8,0.2582,Emergency
U00057,34.866316,96.145799,7,1,0,0,medium,bright,0.501,walking,1.26,0.36,0.05,81,4G,clear,0,0,16,4.64,0.0,0.2,0.2,0.2522,0.0,0.133,Safe
U00058,13.328218,73.099323,14,1,0,1,high,bright,0.509,erratic,5.52,3.76,1.63,19,4G,clear,1,0,19,2.86,0.0,0.64,1.0,0.2833,0.7,0.4888,Emergency
U00059,10.510406,80.830535,2,0,1,0,medium,bright,0.206,stationary,6.46,0.27,1.45,7,3G,clear,0,0,8,0.92,0.6,0.2,0.1,0.1184,0.2,0.2446,Safe
U00060,10.036693,88.354807,13,1,0,0,medium,bright,0.268,stationary,1.9,3.43,2.47,11,no_signal,clear,0,1,10,0.85,0.0,0.2,0.1,0.1701,0.5,0.1975,Safe
U00061,30.556286,86.361002,16,1,0,1,medium,bright,0.086,stationary,7.9,0.43,12.12,83,3G,clear,0,1,33,0.8,0.0,0.8,0.1,0.1656,0.3,0.2764,Safe
U00062,19.81996,84.414787,3,1,1,1,high,dark,0.204,walking,0.06,8.29,1.04,28,4G,clear,0,0,42,5.25,1.0,0.64,0.2,0.14,0.0,0.393,Medium Risk
U00063,8.084357,77.475928,17,0,0,1,medium,bright,0.163,running,5.88,1.6,5.42,19,4G,foggy,0,0,0,0.1,0.0,0.8,0.6,0.141,0.2,0.3253,Safe
U00064,31.618827,89.117799,7,1,0,1,medium,bright,0.373,stationary,4.71,5.58,9.14,27,4G,clear,0,0,13,5.74,0.0,0.8,0.1,0.2965,0.0,0.2491,Safe
U00065,31.676867,86.944403,3,1,1,0,medium,dark,0.405,walking,0.58,5.27,0.48,43,3G,stormy,1,0,2,0.33,1.0,0.2,0.2,0.2249,0.5,0.4262,Emergency
U00066,29.77325,72.721208,1,1,1,0,low,bright,0.627,stationary,3.03,1.9,2.46,52,3G,cloudy,0,1,11,0.05,0.6,0.4,0.1,0.3444,0.3,0.3611,Medium Risk
U00067,14.704599,95.958631,5,0,1,1,low,bright,0.122,stationary,2.64,3.38,0.82,96,4G,cloudy,0,0,4,1.98,0.6,1.0,0.1,0.0805,0.0,0.3551,Medium Risk
U00068,18.064323,84.114514,21,0,1,1,medium,dim,0.491,stationary,0.13,9.81,5.66,83,3G,clear,0,0,28,0.12,0.6,0.8,0.1,0.3348,0.0,0.3787,Medium Risk
U00069,28.113008,83.238386,9,0,0,1,medium,dim,0.157,stationary,4.92,11.0,3.71,51,2G,cloudy,0,0,20,15.1,0.0,0.8,0.1,0.1523,0.0,0.2131,Safe
U00070,21.212534,92.598864,3,0,1,0,low,dim,0.026,walking,1.58,1.4,4.13,33,3G,clear,0,0,41,3.09,0.6,0.4,0.2,0.059,0.0,0.2447,Safe
U00071,12.153318,86.571992,21,1,1,1,medium,dim,0.191,walking,3.94,3.63,3.74,58,4G,foggy,0,0,26,0.68,0.6,0.8,0.2,0.145,0.0,0.3463,Safe
U00072,14.555553,70.159899,17,0,0,0,high,dim,0.357,stationary,7.51,4.36,7.77,14,5G,clear,0,0,72,9.95,0.0,0.04,0.1,0.2707,0.2,0.1307,Safe
U00073,34.259917,82.691092,11,0,0,0,medium,bright,0.043,walking,2.42,9.93,3.18,65,2G,clear,0,0,7,3.75,0.0,0.2,0.2,0.0864,0.0,0.0916,Safe
U00074,12.077354,90.637298,1,1,1,0,low,dark,0.215,erratic,1.01,0.61,6.43,54,no_signal,cloudy,0,0,6,1.22,1.0,0.4,1.0,0.1738,0.0,0.4735,Medium Risk
U00075,27.60418,88.299423,9,0,0,1,low,bright,0.366,stationary,0.62,1.27,2.84,13,4G,stormy,0,0,106,0.21,0.0,1.0,0.1,0.2156,0.2,0.3089,Safe
